Timestamp,IP Address,Risk Score,Risk Level,Reasons
2026-08-19 22:02:50,fe80::14e8:d8b:e701:6deb,100,Critical,Failed connection threshold exceeded; Port scan threshold exceeded
2026-08-19 22:04:10,fe80::14e8:d8b:e701:6deb,100,Critical,Failed connection threshold exceeded; Port scan threshold exceeded
